"name"|"anio"|"n_prov"
"Administración Portuaria Integral de Tampico, S.A. de C.V."|"2018"|21
"Administración Portuaria Integral de Tampico, S.A. de C.V."|"2019"|23
"Administración Portuaria Integral de Tampico, S.A. de C.V."|"2020"|24
"Administración Portuaria Integral de Tampico, S.A. de C.V."|"2021"|36
"Administración Portuaria Integral de Topolobampo, S.A. de C.V."|"2017"|9
"Administración Portuaria Integral de Topolobampo, S.A. de C.V."|"2018"|43
"Administración Portuaria Integral de Topolobampo, S.A. de C.V."|"2019"|38
"Administración Portuaria Integral de Topolobampo, S.A. de C.V."|"2020"|17
"Administración Portuaria Integral de Topolobampo, S.A. de C.V."|"2021"|25
"Administración Portuaria Integral de Topolobampo, S.A. de C.V."|"2022"|3
"Administración Portuaria Integral de Tuxpan, S.A. de C.V."|"2017"|13
"Administración Portuaria Integral de Tuxpan, S.A. de C.V."|"2018"|48
"Administración Portuaria Integral de Tuxpan, S.A. de C.V."|"2019"|63
"Administración Portuaria Integral de Tuxpan, S.A. de C.V."|"2020"|25
"Administración Portuaria Integral de Tuxpan, S.A. de C.V."|"2021"|46
"Administración Portuaria Integral de Veracruz, S.A. de C.V."|"2017"|53
"Administración Portuaria Integral de Veracruz, S.A. de C.V."|"2018"|386
"Administración Portuaria Integral de Veracruz, S.A. de C.V."|"2019"|258
"Administración Portuaria Integral de Veracruz, S.A. de C.V."|"2020"|203
"Administración Portuaria Integral de Veracruz, S.A. de C.V."|"2021"|101
"Administración Portuaria Integral de Veracruz, S.A. de C.V."|"2022"|12
"Administración del Patrimonio de la Beneficencia Pública"|"2018"|8
"Administración del Patrimonio de la Beneficencia Pública"|"2019"|3
"Administración del Patrimonio de la Beneficencia Pública"|"2020"|3
"Administración del Patrimonio de la Beneficencia Pública"|"2021"|3
"Administración del Patrimonio de la Beneficencia Pública"|"2022"|1
"Administración del Sistema Portuario Nacional Altamira, S.A. de C.V."|"2022"|29
"Administración del Sistema Portuario Nacional Dos Bocas, S.A. de C.V."|"2021"|12
"Administración del Sistema Portuario Nacional Dos Bocas, S.A. de C.V."|"2022"|35
"Administración del Sistema Portuario Nacional Ensenada, S.A. de C.V."|"2021"|1
"Administración del Sistema Portuario Nacional Ensenada, S.A. de C.V."|"2022"|29
"Administración del Sistema Portuario Nacional Guaymas, S.A. de C.V."|"2021"|1
"Administración del Sistema Portuario Nacional Guaymas, S.A. de C.V."|"2022"|25
"Administración del Sistema Portuario Nacional Lázaro Cárdenas, S.A. de C.V."|"2022"|162
"Administración del Sistema Portuario Nacional Lázaro Cárdenas, S.A. de C.V."|"2023"|13
"Administración del Sistema Portuario Nacional Manzanillo, S.A. de C.V."|"2022"|131
"Administración del Sistema Portuario Nacional Manzanillo, S.A. de C.V."|"2023"|5
"Administración del Sistema Portuario Nacional Mazatlán, S.A. de C.V."|"2022"|16
"Administración del Sistema Portuario Nacional Progreso, S.A. de C.V."|"2022"|57
"Administración del Sistema Portuario Nacional Progreso, S.A. de C.V."|"2023"|20
"Administración del Sistema Portuario Nacional Puerto Chiapas, S.A. de C.V."|"2022"|26
"Administración del Sistema Portuario Nacional Puerto Vallarta, S.A. de C.V."|"2022"|8
"Administración del Sistema Portuario Nacional Puerto Vallarta, S.A. de C.V."|"2023"|15
"Administración del Sistema Portuario Nacional Tampico, S.A. de C.V."|"2021"|1
"Administración del Sistema Portuario Nacional Tampico, S.A. de C.V."|"2022"|9
"Administración del Sistema Portuario Nacional Tampico, S.A. de C.V."|"2023"|2
"Administración del Sistema Portuario Nacional Topolobampo, S.A. de C.V."|"2022"|26
"Administración del Sistema Portuario Nacional Tuxpan, S.A. de C.V."|"2022"|60
"Administración del Sistema Portuario Nacional Veracruz, S.A. de C.V."|"2022"|112
"Administración del Sistema Portuario Nacional Veracruz, S.A. de C.V."|"2023"|3
"Aeropuerto Internacional Felipe Ángeles, S.A. de C.V."|"2021"|6
"Aeropuerto Internacional Felipe Ángeles, S.A. de C.V."|"2022"|50
"Aeropuerto Internacional de la Ciudad de México, S.A. de C.V."|"2017"|88
"Aeropuerto Internacional de la Ciudad de México, S.A. de C.V."|"2018"|160
"Aeropuerto Internacional de la Ciudad de México, S.A. de C.V."|"2019"|199
"Aeropuerto Internacional de la Ciudad de México, S.A. de C.V."|"2020"|114
"Aeropuerto Internacional de la Ciudad de México, S.A. de C.V."|"2021"|167
"Aeropuerto Internacional de la Ciudad de México, S.A. de C.V."|"2022"|136
"Aeropuertos y Servicios Auxiliares"|"2017"|64
"Aeropuertos y Servicios Auxiliares"|"2018"|511
"Aeropuertos y Servicios Auxiliares"|"2019"|659
"Aeropuertos y Servicios Auxiliares"|"2020"|306
"Aeropuertos y Servicios Auxiliares"|"2021"|341
"Aeropuertos y Servicios Auxiliares"|"2022"|325
"Aeropuertos y Servicios Auxiliares"|"2023"|1
"Agencia Espacial Mexicana"|"2017"|5
"Agencia Espacial Mexicana"|"2018"|20
"Agencia Espacial Mexicana"|"2019"|8
"Agencia Espacial Mexicana"|"2020"|13
"Agencia Espacial Mexicana"|"2021"|9
"Agencia Espacial Mexicana"|"2022"|3
"Agencia Federal de Aviación Civil"|"2022"|1
"Agencia Nacional de Seguridad Industrial y de Protección al Medio Ambiente del Sector Hidrocarburos"|"2017"|17
"Agencia Nacional de Seguridad Industrial y de Protección al Medio Ambiente del Sector Hidrocarburos"|"2018"|41
"Agencia Nacional de Seguridad Industrial y de Protección al Medio Ambiente del Sector Hidrocarburos"|"2019"|47
"Agencia Nacional de Seguridad Industrial y de Protección al Medio Ambiente del Sector Hidrocarburos"|"2020"|25
"Agencia Nacional de Seguridad Industrial y de Protección al Medio Ambiente del Sector Hidrocarburos"|"2021"|42
"Agencia Nacional de Seguridad Industrial y de Protección al Medio Ambiente del Sector Hidrocarburos"|"2022"|28
"Agencia Nacional de Seguridad Industrial y de Protección al Medio Ambiente del Sector Hidrocarburos"|"2023"|1
"Agencia Reguladora del Transporte Ferroviario"|"2018"|23
"Agencia Reguladora del Transporte Ferroviario"|"2019"|16
"Agencia Reguladora del Transporte Ferroviario"|"2020"|8
"Agencia Reguladora del Transporte Ferroviario"|"2021"|1
"Agencia Reguladora del Transporte Ferroviario"|"2022"|1
"Agencia de Servicios a la Comercialización y Desarrollo de Mercados Agropecuarios"|"2017"|6
"Agencia de Servicios a la Comercialización y Desarrollo de Mercados Agropecuarios"|"2018"|445
"Agencia de Servicios a la Comercialización y Desarrollo de Mercados Agropecuarios"|"2019"|332
"Agencia de Servicios a la Comercialización y Desarrollo de Mercados Agropecuarios"|"2020"|44
"Agencia de Servicios a la Comercialización y Desarrollo de Mercados Agropecuarios"|"2021"|20
"Agroasemex, S.A."|"2017"|17
"Agroasemex, S.A."|"2018"|50
"Agroasemex, S.A."|"2019"|59
"Agroasemex, S.A."|"2020"|54
"Agroasemex, S.A."|"2021"|57
"Agroasemex, S.A."|"2022"|45
"Agroasemex, S.A."|"2023"|2
"Archivo General de la Nación"|"2015"|1
"Archivo General de la Nación"|"2017"|19
"Archivo General de la Nación"|"2018"|42
"Archivo General de la Nación"|"2019"|39
"Archivo General de la Nación"|"2020"|31
"Archivo General de la Nación"|"2021"|41
"Archivo General de la Nación"|"2022"|40
"Autoridad Educativa Federal en la Ciudad de México"|"2017"|18
"Autoridad Educativa Federal en la Ciudad de México"|"2018"|125
"Autoridad Educativa Federal en la Ciudad de México"|"2019"|66
"Autoridad Educativa Federal en la Ciudad de México"|"2020"|36
"Autoridad Educativa Federal en la Ciudad de México"|"2021"|60
"Autoridad Educativa Federal en la Ciudad de México"|"2022"|61
"Autoridad Educativa Federal en la Ciudad de México"|"2023"|1
"Autoridad Federal para el Desarrollo de las Zonas Económicas Especiales"|"2017"|8
"Autoridad Federal para el Desarrollo de las Zonas Económicas Especiales"|"2018"|54
"Autoridad Federal para el Desarrollo de las Zonas Económicas Especiales"|"2019"|14
"Autoridad Federal para el Desarrollo de las Zonas Económicas Especiales"|"2020"|35
"Banco Nacional de Comercio Exterior, S.N.C."|"2016"|1
"Banco Nacional de Comercio Exterior, S.N.C."|"2017"|61
"Banco Nacional de Comercio Exterior, S.N.C."|"2018"|190
"Banco Nacional de Comercio Exterior, S.N.C."|"2019"|150
"Banco Nacional de Comercio Exterior, S.N.C."|"2020"|110
"Banco Nacional de Comercio Exterior, S.N.C."|"2021"|124
"Banco Nacional de Comercio Exterior, S.N.C."|"2022"|116
"Banco Nacional de Comercio Exterior, S.N.C."|"2023"|6
"Banco Nacional de Obras y Servicios Públicos, S.N.C."|"2017"|25
"Banco Nacional de Obras y Servicios Públicos, S.N.C."|"2018"|164
"Banco Nacional de Obras y Servicios Públicos, S.N.C."|"2019"|216
"Banco Nacional de Obras y Servicios Públicos, S.N.C."|"2020"|141
"Banco Nacional de Obras y Servicios Públicos, S.N.C."|"2021"|146
"Banco Nacional de Obras y Servicios Públicos, S.N.C."|"2022"|152
"Banco Nacional del Ejército, Fuerza Aérea y Armada, S.N.C."|"2017"|47
